"csv_line"
"id,nom"
"""108"",""Actuariat"""
"""112"",""Administration des Affaires"""
"""98"",""Administration Économique et Sociale (AES)"""
"""109"",""Administration et Gestion des Entreprises"""
"""74"",""Administration publique et territoriale"""
"""270"",""Aérospatial"""
"""262"",""Agrobusiness"""
"""241"",""Agroécologie"""
"""258"",""Agroforesterie"""
"""110"",""Agronomie"""
"""147"",""Agronomie et Production végétale"""
"""255"",""Alimentation et nutrition animale"""
"""253"",""Amélioration des plantes"""
"""257"",""Aménagement hydro-agricole et infrastructure rurale"""
"""214"",""Analyses biologiques"""
"""238"",""Anglais"""
"""187"",""Anthropologie"""
"""194"",""Aquaculture"""
"""113"",""Architecture"""
"""201"",""Arts dramatiques"""
"""138"",""Assistanat de Direction"""
"""135"",""Audiovisuel"""
"""97"",""Audit et Contrôle de Gestion"""
"""213"",""Automatisme industriel"""
"""77"",""Banque, Assurance, Finance"""
"""210"",""Big Data"""
"""272"",""Biochimie"""
"""161"",""Biologie"""
"""22"",""Biologie médicale"""
"""185"",""Chimie"""
"""191"",""Cinéma"""
"""229"",""Commerce électronique et Cybersécurité"""
"""79"",""Commerce international"""
"""121"",""Communication"""
"""240"",""Communication d'entreprise"""
"""130"",""Communication et Leadership"""
"""105"",""Comptabilité"""
"""106"",""Comptabilité et Gestion"""
"""231"",""Conseil agricole"""
"""122"",""Créativité Événementielle"""
"""225"",""Criminologie"""
"""11"",""Cybersécurité"""
"""266"",""Cycle Analyste Statisticien"""
"""265"",""Cycle Ingénieur Statisticien Économiste (ISE)"""
"""12"",""Data Science"""
"""233"",""Développement Mobile"""
"""271"",""Diplôme d'État de Docteur Vétérinaire"""
"""4"",""Droit"""
"""249"",""Droit de l'environnement et du foncier"""
"""73"",""Droit des affaires"""
"""159"",""Droit des affaires et Fiscalité"""
"""150"",""Droit économique et des affaires"""
"""129"",""Droit privé"""
"""128"",""Droit public"""
"""176"",""Eau, Environnement et Assainissement"""
"""232"",""Eaux et Forêts"""
"""99"",""Économie et Gestion"""
"""220"",""Économie internationale"""
"""83"",""Électromécanique et systèmes automatisés"""
"""8"",""Électronique"""
"""81"",""Électrotechnique"""
"""193"",""Élevage"""
"""86"",""Énergie renouvelable"""
"""251"",""Énergies renouvelables appliquées à l'agriculture"""
"""195"",""Enseignement"""
"""156"",""Entrepreneuriat"""
"""223"",""Entrepreneuriat et Développement (ENDEV)"""
"""209"",""Environnement"""
"""149"",""Études comptables et financières"""
"""222"",""Finance d'entreprise"""
"""245"",""Finance rurale"""
"""117"",""Fiscalité"""
"""196"",""Formation"""
"""269"",""Génie aéronautique"""
"""89"",""Génie biologique"""
"""33"",""Génie biomédical"""
"""2"",""Génie Civil"""
"""212"",""Génie de données et Technologies Omics"""
